rank,company,contact_type,recommended_titles,linkedin_search_url,linkedin_jobs_url,towns_cities,routes,score,connection_note
22,BRAIN BRIDGE TECHNOLOGY LIMITED,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Brentwood,Skilled Worker,98,"Hi, I noticed BRAIN BRIDGE TECHNOLOGY LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at BRAIN BRIDGE TECHNOLOGY LIMITED."
23,H. AI Technology Limited L,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=H.+AI+Technology+Limited+L+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=H.+AI+Technology+Limited+L+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,ondon,Skilled Worker,98,"Hi, I noticed H. AI Technology Limited L is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at H. AI Technology Limited L."
24,H. AI Technology Limited L,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=H.+AI+Technology+Limited+L+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=H.+AI+Technology+Limited+L+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,ondon,Skilled Worker,98,"Hi, I noticed H. AI Technology Limited L is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at H. AI Technology Limited L."
25,Kaifa Technology UK Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Kaifa+Technology+UK+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Kaifa+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Milton Keynes,Skilled Worker,98,"Hi, I noticed Kaifa Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kaifa Technology UK Limited."
26,Kaifa Technology UK Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Kaifa+Technology+UK+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Kaifa+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Milton Keynes,Skilled Worker,98,"Hi, I noticed Kaifa Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kaifa Technology UK Limited."
27,OEE Container Technology Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=OEE+Container+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=OEE+Container+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Carlisle,Skilled Worker,98,"Hi, I noticed OEE Container Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at OEE Container Technology Limited."
28,OEE Container Technology Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=OEE+Container+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=OEE+Container+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Carlisle,Skilled Worker,98,"Hi, I noticed OEE Container Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at OEE Container Technology Limited."
29,Prevail Technology Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Prevail+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Prevail+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Poole,Skilled Worker,98,"Hi, I noticed Prevail Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Prevail Technology Limited."
30,Prevail Technology Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Prevail+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Prevail+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Poole,Skilled Worker,98,"Hi, I noticed Prevail Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Prevail Technology Limited."
31,Transforming Training with Technology Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Transforming+Training+with+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Transforming+Training+with+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Hurn,Skilled Worker,98,"Hi, I noticed Transforming Training with Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Transforming Training with Techn"
32,Transforming Training with Technology Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Transforming+Training+with+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Transforming+Training+with+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Hurn,Skilled Worker,98,"Hi, I noticed Transforming Training with Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Transforming Training with Techn"
33,Datascan Retail Systems Ltd Coleshill,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,,Skilled Worker,96,"Hi, I noticed Datascan Retail Systems Ltd Coleshill is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Datascan Retail Systems Ltd Coleshill."
34,Datascan Retail Systems Ltd Coleshill,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,,Skilled Worker,96,"Hi, I noticed Datascan Retail Systems Ltd Coleshill is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Datascan Retail Systems Ltd Coleshill."
